Title,Name,Type,Time,Location,Number of applying,URL
Information Technology Engineering & Operations Specialist,Brooks Running,Full-time · Entry level,1 week ago,Vietnam,3 applicants,https://www.linkedin.com/jobs/view/2782130999/?eBP=CwEAAAF9-Pa3yyT1Q1ajyOx6qZZ4K8khmtZ0zR087AaLiGM8g7Ci_G8DmwSS-otn6UdwIQ-qohHywVNozwovXjo-iTE0EqIencHGasnzOAW3wy1SXHq0hWYWvT2xAxspBygRWwsBwIUgSewAej2HyghQYiaR97rs3gRQXWlbP2n04qSoI62ksQnBHJIQIyK7WUbFbmrwvFIE1yenvuK_tPqhL20AlOEbG4FOdoMTh0upO8nRCWKbi3mUtsjD2y7YH1gWBpftqc0k9hAki8tF04alMHoafA4s0NDOx5IfW30JJulBNWPL7amuFQl2GHvCX1ScQtb4T7xWwdBMsacRRf3MjVas0w&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=LGZrwI4GeppXFbzbYm6Grg%3D%3D&trackingId=TvXST7zaQlb44wmUbbhKXQ%3D%3D&trk=flagship3_search_srp_jobs
Python Software Engineer (Open Remote),Wizeline,Full-time · Entry level,2 weeks ago,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 applicant,https://www.linkedin.com/jobs/view/2794288267/?eBP=CwEAAAF9-Pa3y09XOLOLZEXkF0AT908LIpp8mzV48mgrRvpmNBvtu6VXhjZNSt3JSDkeP_N3rRqUFo0BFQmau_Qbs1HdoxS3AwXfhJXXw7MJB32srvdal403q2_3-ITnD5bxybRzvx74Wz-GUs_5XugKkJWV6nSzyfdklmD_SzuCs73fXGsYzdV4aTbpm1m5YrkxtpW-fxHP6Gt2HSXU78o9PcbedOyVAl7Man3iFahB3S3VK4Ig9MoCbUBmy4iU26JsbZQ-bmCoES309Hyt45imEBkGv6cvNOjwaWswK_ZbANiDz-EuwtoE0D0IK3gB_M2YlnTUyoT92We7F8R26Gs1QdbAdLEhNXxFSdwMYKmv0gODmNPgwimmctYpQS9X&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=LGZrwI4GeppXFbzbYm6Grg%3D%3D&trackingId=SOW1QHjlfe8RDeyWchfJZw%3D%3D&trk=flagship3_search_srp_jobs
"Web Application Developer, Upland (Remote) - $60,000/year USD",Crossover for Work,Full-time · Entry level,2 days ago,"Hanoi, Hanoi, Vietnam",1 applicant,https://www.linkedin.com/jobs/view/2850810131/?eBP=CwEAAAF9-Pa3y3wKcJI2LVGxm3_tEGeuAAis1Kt14fKaGXspcnogQ9AH9h_m9a1V-RSBr8NRcrgEMyN4hVeAVRfVfYMWC4lr0dwTfShB-2wSEl5-j-PK32OzzgACEAogOJAwxQmrOMFuAO-CYVQrmpzq9dv4PlVsv7q8REAMAjjxR6-0ztrIkm6SpecbOOfjr6WVPOOUbRX4kHQBEwcDCP4JGyZ2nYLwxxSQMrax-IU5hR_1tldU55lUsFMZu6ZySV0r-4OvQnR9zRRSS8rC-1FIcZvzrfwASoDKaZGUdnqxy-chfp0PPwpkiwZdkQVwvZvrErPNI1_BeMwSsZABZ2yY_v6XYiPX2ZSD-uMygbvRATcvZnyLLnZ0-ijZLZas&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=LGZrwI4GeppXFbzbYm6Grg%3D%3D&trackingId=0DWvLFAMahJmoIc9imEOXg%3D%3D&trk=flagship3_search_srp_jobs
Community Content Management Specialist - VN,TikTok,Full-time · Entry level,3 weeks ago,"Ho Chi Minh City, Vietnam",20 applicants,https://www.linkedin.com/jobs/view/2813535933/?eBP=CwEAAAF9-Pa3y4Nh8QFEb5WSp8XJwh9RCy4zEc5cATU8qrPiqqTC09c2F6umIY0mB3jkfIar3__4XIBgNtaX1rX5p2Vvnw9cm0ODWfRXBMpAZqLVCKKwQ94zt_zbc2-SBnZLk2fsFrB8memtdWyCXxNzKhGqB8wOnsvqHM3lanq0Rl8c0fjP_fCq-uFU28-g3ljiyZ0JAtrbolgSZp0a0dkIDWTqlZ-82KUZ9ncdy6-Ih_gzzdDGy0hW-yjY-zzYeMxknL5bKutYxqKPHbfnwuuuwz8bEd7M5lkqMXU0DeE5LetAP1NlmA0G5f9mktNFMFiJ6JmrFh_AtURWR7XpZGhInAP0ow&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=LGZrwI4GeppXFbzbYm6Grg%3D%3D&trackingId=rg4CE40lWrwtCg3DSLB8bw%3D%3D&trk=flagship3_search_srp_jobs
Junior Software Architect| Remote,InnoTech.pt,Full-time · Entry level,2 hours ago,"Lisbon, Lisbon, Portugal",6 applicants,https://www.linkedin.com/jobs/view/2856262499/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=LGZrwI4GeppXFbzbYm6Grg%3D%3D&trackingId=samCVIDeZTm0WJoq05zgIA%3D%3D&trk=flagship3_search_srp_jobs
Frontend Developer (Remote),CRISP STUDIO,Full-time,5 hours ago,Armenia,47 applicants,https://www.linkedin.com/jobs/view/2852259757/?eBP=JOB_SEARCH_ORGANIC&refId=LGZrwI4GeppXFbzbYm6Grg%3D%3D&trackingId=7jWrfowdxp68WoTpWPuZvA%3D%3D&trk=flagship3_search_srp_jobs
DevOps Engineer,Binance,Full-time · Entry level,1 week ago,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",6 applicants,https://www.linkedin.com/jobs/view/2804698666/?eBP=CwEAAAF9-Pa3yxShZ4ViiKmp1sesZtTEg402pEPqtfXfSVSRlFZRVxlw5wABHblLHholctNWfHEKmfDHnlk1BsB3Kj7a_MlgU2IakD7_6NOXWYYgkO3Ofn25Ga_PWeaCn4-woHgMP9VmF6D2E2FEyQdOG1N3r1eLpnRVBIG3oJ4gQPy7_N0-6Pwo1UwK4ecGEXPUFixQXYlLSuVY5d2HlHpTP68rOEUXgfKwlielZxMSMZMdQKQ8_w0BOch8eIbADI6Yue-TcoY3H3cQ-Hftk18ZkcgVXq9ruaj3G3X2b5YKQOhEJmzBzpBPraldW5ZV8DIuQzqcK-90siLQYZ3AOo_KHKUlEgJfYE8RAQUHaTW_rZ3vB0qQK2jXf1fIs56Q&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=LGZrwI4GeppXFbzbYm6Grg%3D%3D&trackingId=pG7O8bK6ISg0n29pSbP%2B%2Fw%3D%3D&trk=flagship3_search_srp_jobs
Vue.js Software Engineer,Wizeline,Full-time · Entry level,2 weeks ago,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",,https://www.linkedin.com/jobs/view/2769733395/?eBP=CwEAAAF9-Pa9nWRg_6toFWgTbnuRQiLNcQwTaOwllMuDMmKIii-dTOmiq1JeZdjB3BlWpXjvuzo6M-lVsC0nrTJetDnnaLSafd4EYhEMaJIlSV9S-v2xEM88MdsrxX7RhM-9E1Zvd86bau7uU5AD-U7sZb1QSY6ZwwNTccsHRPNaz_1wPeyf9jUv1uoCqyIaPWmXuAFWH4dwh7ICUb0YfezzrAUD70XJJVx62QF9dHcKx2i5nK6i4blIeMEu9ShJcbsdEEEObbD9scNHsJP-SvS-pDxzbTWkC-8t6i8h4MvkQ8rq8B6CHkUxa_2NxdRw3yA_ZgxvccXAsoEC506bywkp-7VsTUdzGzdzKIOaYJjZ5RAFy8qryapYSP3YifXKvEg&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iQes10P%2BsLaj6sTrTOr3Bg%3D%3D&trackingId=IvVz5EaI%2BCLnVcdARCZT9w%3D%3D&trk=flagship3_search_srp_jobs
QA Engineer (C2C),Binance,Full-time · Entry level,1 week ago,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 applicant,https://www.linkedin.com/jobs/view/2844852667/?eBP=CwEAAAF9-Pa9najb6SktWLaorSJg-S-XUai4h3bA_qjlYZXYujx8eeQfGl9LbSCpOCAQ5T5kaEg8ob_bbX4MLAPNrG5Vxoi2VsgO6ZKRkpvzKXQmNewTKMbbsSBg2Q83Sg8QGA7iynrdIezeUxyDdd966TGVvhixBnmGvLpJs0-dUQn7_NbSlYruJ7p9C-C7uVX1mCaEx9hZrLzjkpNwqjmF0aizO6S5ZJUYfYnZQWXu3cgwXXRCdH2wM2yIgNic66iqH1ZydqhdUJ7-pTG-RtsOL_dz_hh1aI33sqv3C5pvLVEMmOtZagXNkZfCdzQoE_nva3tah-Z6JWBy3N_4IAzxHxlkR1bRJ8oIxVaGpgVoLl2T-rlWIZV-iU_Skir3gF8&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iQes10P%2BsLaj6sTrTOr3Bg%3D%3D&trackingId=JA4REOZ54P1dValLKbBNFw%3D%3D&trk=flagship3_search_srp_jobs
Quality Analysis and Operations Specialist-VN,TikTok,Full-time · Entry level,3 weeks ago,"Ho Chi Minh City, Vietnam",21 applicants,https://www.linkedin.com/jobs/view/2813535967/?eBP=CwEAAAF9-Pa9nXeED4rYrDy56j2_iOovMIttld0ghSlg4eIvfzGYEx93lIxRyMIOWUjQgjt6rub1aiStGBFK9dHfcQDTeGTZMRVHCgMWhdmrZQfXKpWEh4xaQJF2YT0xT_k-mvhtt7DI6uKdcS4qjvAV0-AkR-PP-H1JcAQmK9iwOU41SoQdscfj9Hpw7lWHVAPj1K4PRSLhrPb04kMqbh2ZwQvm1B5-O8FogJkX7asnr1WVZFiMsG6qL0eNNwqn_6zLzyEGuuCZNk3uKYuPLmyFTJHDcJu-30dKsKOREINJGH2sFRZBBxPRFPppxehbWSpCkHxin_p6au93-z2n7GQYhViV4vKzcSSra2-BkA5uM-RfPCXSOJFRs96bWcPuRFc&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iQes10P%2BsLaj6sTrTOr3Bg%3D%3D&trackingId=QNlmDXXR8MKnEZqXXNrYtg%3D%3D&trk=flagship3_search_srp_jobs
